Geneid,transcript_id,transcript_symbol,gene_symbol,rGAL4_lnRi_0.7_1,rGAL4_lnRi_0.7_2,rGAL4_lnRi_0.7_3,log2FoldChange,padj,DA
FBgn0002562,FBtr0073651,Lsp1alpha-RA,Lsp1alpha,860,1204,1243,-6.419987322,1.42E-117,-1
FBgn0283461,FBtr0073073,Drs-RA,Drs,19833,23205,9795,5.970545644,1.76E-107,1
FBgn0032638,FBtr0081004,SPH93-RA,SPH93,15729,12411,8027,4.296666086,1.25E-92,1
FBgn0265577,FBtr0475306,IBIN-RB,IBIN,2816,2479,1390,5.030192796,7.64E-85,1
FBgn0040735,FBtr0086666,BomT2-RA,BomT2,1700,1394,812,6.015092125,1.94E-80,1
FBgn0028514,FBtr0300612,CG4793-RD,CG4793,2029,1801,1069,5.128691057,9.22E-75,1
FBgn0037975,FBtr0082504,CG3397-RA,CG3397,93,63,24,-4.486234472,2.01E-59,-1
FBgn0041183,FBtr0080811,Tep1-RA,Tep1,1073,722,437,5.088853358,1.80E-56,1
FBgn0262683,FBtr0305602,CG43153-RA,CG43153,1129,693,465,6.147509836,2.50E-56,1
FBgn0263321,FBtr0343842;FBtr0308745,CG43402-RB;CG43402-RA,CG43402,1907,949,813,4.939765545,2.36E-46,1
FBgn0003312,FBtr0082475,sad-RA,sad,4210,1918,1450,4.177510297,6.38E-46,1
FBgn0040736,FBtr0340328;FBtr0086665;FBtr0086665;FBtr0340328,BomS3-RB;BomS3-RA;BomS3-RA;BomS3-RB,BomS3,7858,6836,2636,8.572001017,4.00E-42,1
FBgn0036940,FBtr0074866,obst-J-RA,obst-J,1362,951,749,3.834095567,2.00E-41,1
FBgn0040733,FBtr0086727,BomS6-RA,BomS6,501,344,340,4.749524138,8.12E-41,1
FBgn0034331,FBtr0086728;FBtr0300844;FBtr0300844;FBtr0086728,BomBc2-RA;BomBc2-RB;BomBc2-RB;BomBc2-RA,BomBc2,1685,1206,749,9.188120576,9.79E-39,1
FBgn0043575,FBtr0088709,PGRP-SC2-RA,PGRP-SC2,3368,2480,2007,3.585855127,2.45E-38,1
FBgn0033830,FBtr0087720,CG10814-RA,CG10814,911,378,345,5.155756162,3.43E-38,1
FBgn0033128,FBtr0089024,Tsp42Eg-RA,Tsp42Eg,497,324,244,5.724947422,1.10E-36,1
FBgn0030362,FBtr0073575;FBtr0073576;FBtr0073578;FBtr0073577;FBtr0073578;FBtr0073577;FBtr0073575;FBtr0073576;FBtr0073577;FBtr0073578;FBtr0073576;FBtr0073575,regucalcin-RA;regucalcin-RC;regucalcin-RD;regucalcin-RB;regucalcin-RD;regucalcin-RB;regucalcin-RA;regucalcin-RC;regucalcin-RB;regucalcin-RD;regucalcin-RC;regucalcin-RA,regucalcin,2856,1723,1423,-2.498203507,6.15E-36,-1
FBgn0042206,FBtr0344264;FBtr0082609;FBtr0344264;FBtr0082609,GstD10-RB;GstD10-RA;GstD10-RB;GstD10-RA,GstD10,22,6,7,-4.863279434,1.05E-35,-1
FBgn0034011,FBtr0087389,CG8160-RA,CG8160,2298,2476,1000,3.668155266,1.41E-35,1
FBgn0027584,FBtr0082339;FBtr0335216;FBtr0082339;FBtr0335216;FBtr0082339;FBtr0335216;FBtr0082339;FBtr0335216,CG4757-RA;CG4757-RB;CG4757-RA;CG4757-RB;CG4757-RA;CG4757-RB;CG4757-RA;CG4757-RB,CG4757,768,352,535,4.457335271,1.62E-35,1
FBgn0262808,FBtr0306052,CG43179-RA,CG43179,1100,639,411,3.935271684,2.20E-34,1
FBgn0024289,FBtr0081627;FBtr0339932;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627,Sodh1-RA;Sodh1-RB;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA,Sodh1,9,6,17,-4.910647708,1.91E-32,-1
FBgn0262112,FBtr0085481,sro-RA,sro,67,48,28,-3.168403466,2.07E-32,-1
FBgn0039645,FBtr0273260,CG11898-RB,CG11898,457,212,287,5.536326211,1.03E-29,1
FBgn0030594,FBtr0343380;FBtr0073978;FBtr0073978;FBtr0343380,fiz-RB;fiz-RA;fiz-RA;fiz-RB,fiz,170,200,149,-2.99354698,8.40E-29,-1
FBgn0004047,FBtr0073821;FBtr0346090;FBtr0073821;FBtr0346090;FBtr0073821;FBtr0346090,Yp3-RA;Yp3-RB;Yp3-RA;Yp3-RB;Yp3-RA;Yp3-RB,Yp3,6,4,4,-5.627009664,1.20E-28,-1
FBgn0015039,FBtr0089055,Cyp9b2-RA,Cyp9b2,262,198,138,-2.770252756,4.74E-27,-1
FBgn0040653,FBtr0345819;FBtr0071559;FBtr0071559;FBtr0345819,Dso1-RB;Dso1-RA;Dso1-RA;Dso1-RB,Dso1,1075,1042,372,9.330571898,8.07E-26,1
FBgn0035241,FBtr0331463;FBtr0072824,CG12105-RB;CG12105-RA,CG12105,245,205,155,4.419624311,2.20E-25,1
FBgn0262473,FBtr0085059;FBtr0330154;FBtr0330155;FBtr0330155;FBtr0330155;FBtr0085059;FBtr0330154;FBtr0330155;FBtr0330154;FBtr0085059;FBtr0330155;FBtr0330154;FBtr0085059,Tl-RB;Tl-RC;Tl-RD;Tl-RD;Tl-RD;Tl-RB;Tl-RC;Tl-RD;Tl-RC;Tl-RB;Tl-RD;Tl-RC;Tl-RB,Tl,1835,1815,815,2.709436267,3.18E-25,1
FBgn0033820,FBtr0087746;FBtr0087747;FBtr0345471;FBtr0087746,CG4716-RB;CG4716-RA;CG4716-RC;CG4716-RB,CG4716,4613,3216,2240,2.572396378,4.67E-25,1
FBgn0028482,FBtr0077425,bdl-RA,bdl,254,197,144,4.445213965,8.48E-25,1
FBgn0261625,FBtr0302977;FBtr0302976;FBtr0302974;FBtr0302975;FBtr0344191;FBtr0302973;FBtr0302972;FBtr0302979;FBtr0339707;FBtr0302978;FBtr0302979;FBtr0302977;FBtr0302976;FBtr0302975;FBtr0302974;FBtr0302973;FBtr0344191;FBtr0302972;FBtr0339707;FBtr0302979;FBtr0302978;FBtr0302977;FBtr0302976;FBtr0302975;FBtr0302974;FBtr0302973;FBtr0302972;FBtr0344191;FBtr0339707;FBtr0302979;FBtr0302978;FBtr0302976;FBtr0302977;FBtr0302975;FBtr0302973;FBtr0302974;FBtr0344191;FBtr0302972;FBtr0302977;FBtr0302976;FBtr0302973;FBtr0302972;FBtr0302977;FBtr0344191;FBtr0339707;FBtr0302978;FBtr0302979;FBtr0302976;FBtr0302975;FBtr0302974;FBtr0302973;FBtr0339707;FBtr0302979;FBtr0302975;FBtr0302976;FBtr0302978;FBtr0302974;FBtr0302973,Gls-RB;Gls-RC;Gls-RA;Gls-RE;Gls-RK;Gls-RD;Gls-RF;Gls-RI;Gls-RJ;Gls-RH;Gls-RI;Gls-RB;Gls-RC;Gls-RE;Gls-RA;Gls-RD;Gls-RK;Gls-RF;Gls-RJ;Gls-RI;Gls-RH;Gls-RB;Gls-RC;Gls-RE;Gls-RA;Gls-RD;Gls-RF;Gls-RK;Gls-RJ;Gls-RI;Gls-RH;Gls-RC;Gls-RB;Gls-RE;Gls-RD;Gls-RA;Gls-RK;Gls-RF;Gls-RB;Gls-RC;Gls-RD;Gls-RF;Gls-RB;Gls-RK;Gls-RJ;Gls-RH;Gls-RI;Gls-RC;Gls-RE;Gls-RA;Gls-RD;Gls-RJ;Gls-RI;Gls-RE;Gls-RC;Gls-RH;Gls-RA;Gls-RD,Gls,4909,4468,2482,2.842794676,9.49E-25,1
FBgn0262607,FBtr0305281,CG43133-RA,CG43133,1118,1094,504,3.551730548,1.06E-23,1
FBgn0034552,FBtr0071561,CG17999-RA,CG17999,1078,417,385,8.888379578,1.12E-23,1
FBgn0032322,FBtr0329948;FBtr0329948;FBtr0080147,CG16743-RB;CG16743-RB;CG16743-RA,CG16743,1017,1252,466,3.157902144,4.88E-23,1
FBgn0032136,FBtr0303874,Apoltp-RC,Apoltp,3154,2948,1466,2.46045801,7.57E-23,1
FBgn0015035,FBtr0079925,Cyp4e3-RA,Cyp4e3,10224,5770,2623,3.121717038,9.31E-23,1
FBgn0000565,FBtr0330177;FBtr0075554;FBtr0075552;FBtr0075553;FBtr0303531;FBtr0330176;FBtr0330177;FBtr0303531;FBtr0075554;FBtr0330176;FBtr0075552;FBtr0075553;FBtr0330177;FBtr0303531;FBtr0075554;FBtr0330176;FBtr0075553;FBtr0330177;FBtr0303531;FBtr0075554;FBtr0330176;FBtr0075552;FBtr0075553,MsrA-RG;MsrA-RB;MsrA-RC;MsrA-RA;MsrA-RE;MsrA-RF;MsrA-RG;MsrA-RE;MsrA-RB;MsrA-RF;MsrA-RC;MsrA-RA;MsrA-RG;MsrA-RE;MsrA-RB;MsrA-RF;MsrA-RA;MsrA-RG;MsrA-RE;MsrA-RB;MsrA-RF;MsrA-RC;MsrA-RA,MsrA,201,154,125,-2.45059692,1.79E-22,-1
FBgn0051075,FBtr0307506;FBtr0085080;FBtr0085080;FBtr0307506;FBtr0085080;FBtr0307506;FBtr0307506;FBtr0085080;FBtr0307506;FBtr0085080,CG31075-RB;CG31075-RA;CG31075-RA;CG31075-RB;CG31075-RA;CG31075-RB;CG31075-RB;CG31075-RA;CG31075-RB;CG31075-RA,CG31075,6819,6118,3578,-2.27802263,2.04E-22,-1
FBgn0025583,FBtr0086664,BomS2-RA,BomS2,2075,1723,947,11.46103828,2.04E-22,1
FBgn0036875,FBtr0333847;FBtr0345147;FBtr0333846;FBtr0290044;FBtr0345146;FBtr0290043;FBtr0333847;FBtr0333846;FBtr0345147;FBtr0290044;FBtr0333847;FBtr0333846;FBtr0345146;FBtr0345147;FBtr0290043;FBtr0290044;FBtr0333847;FBtr0333846;FBtr0345147;FBtr0345146;FBtr0290044;FBtr0290043;FBtr0333846;FBtr0333847;FBtr0345146;FBtr0345147;FBtr0290044;FBtr0290043,CG9449-RH;CG9449-RK;CG9449-RG;CG9449-RF;CG9449-RJ;CG9449-RE;CG9449-RH;CG9449-RG;CG9449-RK;CG9449-RF;CG9449-RH;CG9449-RG;CG9449-RJ;CG9449-RK;CG9449-RE;CG9449-RF;CG9449-RH;CG9449-RG;CG9449-RK;CG9449-RJ;CG9449-RF;CG9449-RE;CG9449-RG;CG9449-RH;CG9449-RJ;CG9449-RK;CG9449-RF;CG9449-RE,CG9449,7623,6677,3884,2.261470344,2.38E-22,1
FBgn0067905,FBtr0100038,Dso2-RA,Dso2,703,520,236,8.541439107,4.53E-22,1
FBgn0030519,FBtr0073819;FBtr0331719;FBtr0073819;FBtr0331719;FBtr0073819;FBtr0331719,CG11151-RA;CG11151-RB;CG11151-RA;CG11151-RB;CG11151-RA;CG11151-RB,CG11151,910,628,461,-2.082383413,4.84E-22,-1
FBgn0035189,FBtr0072635,CG9119-RA,CG9119,77,28,50,-2.896298415,2.07E-21,-1
FBgn0029831,FBtr0070866;FBtr0343294;FBtr0070866;FBtr0070866;FBtr0343294,CG5966-RA;CG5966-RB;CG5966-RA;CG5966-RA;CG5966-RB,CG5966,12310,12525,6249,2.413998471,2.47E-21,1
FBgn0085308,FBtr0112474;FBtr0333932;FBtr0333932;FBtr0112474;FBtr0333932;FBtr0112474,CG34279-RA;CG34279-RC;CG34279-RC;CG34279-RA;CG34279-RC;CG34279-RA,CG34279,2,0,2,-7.600811057,1.37E-20,-1
FBgn0033782,FBtr0331985;FBtr0087789;FBtr0331985;FBtr0087789;FBtr0331985,sug-RB;sug-RA;sug-RB;sug-RA;sug-RB,sug,700,712,351,2.575365367,2.04E-20,1
FBgn0034761,FBtr0071865;FBtr0309802;FBtr0071865;FBtr0309802;FBtr0071865;FBtr0309802,CG4250-RA;CG4250-RB;CG4250-RA;CG4250-RB;CG4250-RA;CG4250-RB,CG4250,312,270,177,3.311255431,3.83E-20,1
FBgn0037913,FBtr0100323;FBtr0100323;FBtr0100320;FBtr0100321;FBtr0100320;FBtr0100321;FBtr0100323;FBtr0100320;FBtr0100321;FBtr0100323;FBtr0100320,fabp-RC;fabp-RC;fabp-RA;fabp-RB;fabp-RA;fabp-RB;fabp-RC;fabp-RA;fabp-RB;fabp-RC;fabp-RA,fabp,578,513,231,-2.527220308,1.05E-19,-1
FBgn0015576,FBtr0081553,alpha-Est8-RA,alpha-Est8,1445,1299,730,2.540649215,3.09E-19,1
FBgn0034329,FBtr0086662,BomS1-RA,BomS1,1584,919,444,10.70925257,3.16E-19,1
FBgn0063667,FBtr0273416,meep-RB,meep,12,2,3,-4.66087041,4.45E-19,-1
FBgn0035484,FBtr0073284;FBtr0310046;FBtr0309791;FBtr0073283;FBtr0310046;FBtr0309791;FBtr0073283;FBtr0073284;FBtr0309791;FBtr0310046;FBtr0073283;FBtr0073284;FBtr0310046;FBtr0309791;FBtr0073283;FBtr0073284;FBtr0310046;FBtr0309791;FBtr0073283;FBtr0073284;FBtr0310046;FBtr0073283,CG11594-RA;CG11594-RE;CG11594-RD;CG11594-RC;CG11594-RE;CG11594-RD;CG11594-RC;CG11594-RA;CG11594-RD;CG11594-RE;CG11594-RC;CG11594-RA;CG11594-RE;CG11594-RD;CG11594-RC;CG11594-RA;CG11594-RE;CG11594-RD;CG11594-RC;CG11594-RA;CG11594-RE;CG11594-RC,CG11594,187,173,115,-2.239739979,8.52E-19,-1
FBgn0050360,FBtr0273322;FBtr0346647;FBtr0346647;FBtr0273322;FBtr0346647;FBtr0273322,Mal-A6-RC;Mal-A6-RD;Mal-A6-RD;Mal-A6-RC;Mal-A6-RD;Mal-A6-RC,Mal-A6,137,98,81,-2.297969816,3.94E-18,-1
FBgn0037819,FBtr0113215,Phyhd1-RB,Phyhd1,129,39,37,-2.795127902,3.96E-18,-1
FBgn0032652,FBtr0340254;FBtr0080989,CG6870-RB;CG6870-RA,CG6870,142,99,71,-2.570824121,1.58E-17,-1
FBgn0040532,FBtr0445734;FBtr0081920;FBtr0445733;FBtr0081920;FBtr0445733;FBtr0445733;FBtr0445734;FBtr0081920,CG8369-RE;CG8369-RA;CG8369-RD;CG8369-RA;CG8369-RD;CG8369-RD;CG8369-RE;CG8369-RA,CG8369,984,801,594,-2.237393401,2.70E-17,-1
FBgn0028573,FBtr0076064,prc-RB,prc,225,112,99,4.23478185,2.84E-17,1
FBgn0010222,FBtr0336761;FBtr0081997;FBtr0081996;FBtr0336761;FBtr0081997;FBtr0081996;FBtr0336761;FBtr0081997;FBtr0081996,Nmdmc-RC;Nmdmc-RA;Nmdmc-RB;Nmdmc-RC;Nmdmc-RA;Nmdmc-RB;Nmdmc-RC;Nmdmc-RA;Nmdmc-RB,Nmdmc,508,747,253,2.925967179,2.86E-17,1
FBgn0033137,FBtr0336874;FBtr0336874;FBtr0089062;FBtr0089062;FBtr0336874;FBtr0336874;FBtr0089062;FBtr0336874;FBtr0089062,Tsp42Ep-RB;Tsp42Ep-RB;Tsp42Ep-RA;Tsp42Ep-RA;Tsp42Ep-RB;Tsp42Ep-RB;Tsp42Ep-RA;Tsp42Ep-RB;Tsp42Ep-RA,Tsp42Ep,590,690,365,-2.421945943,2.91E-17,-1
FBgn0014018,FBtr0089338;FBtr0089340;FBtr0089341;FBtr0089339;FBtr0089338;FBtr0089340;FBtr0089339;FBtr0089341,Rel-RA;Rel-RC;Rel-RD;Rel-RB;Rel-RA;Rel-RC;Rel-RB;Rel-RD,Rel,1665,1265,922,1.793107754,3.58E-17,1
FBgn0052557,FBtr0074466,Mco4-RA,Mco4,822,598,399,5.57471067,3.80E-17,1
FBgn0034512,FBtr0345933;FBtr0086216;FBtr0086216;FBtr0345933,Bbd-RB;Bbd-RA;Bbd-RA;Bbd-RB,Bbd,7601,7565,4551,2.173990953,4.03E-17,1
FBgn0038299,FBtr0083140,Spn88Eb-RA,Spn88Eb,1785,1733,957,2.243586796,5.06E-17,1
FBgn0005670,FBtr0070428;FBtr0070427;FBtr0070428;FBtr0070427;FBtr0070428;FBtr0070427,Cyp4d1-RA;Cyp4d1-RB;Cyp4d1-RA;Cyp4d1-RB;Cyp4d1-RA;Cyp4d1-RB,Cyp4d1,2732,2224,1584,-1.639801075,5.36E-17,-1
FBgn0004885,FBtr0084689;FBtr0339252;FBtr0084690;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689;FBtr0339252;FBtr0084690;FBtr0084689,tok-RB;tok-RC;tok-RA;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB;tok-RC;tok-RA;tok-RB,tok,1645,2222,993,2.323359547,7.99E-17,1
FBgn0267910,FBtr0307365;FBtr0307366,lncRNA:CR34335-RB;lncRNA:CR34335-RC,lncRNA:CR34335,3635,3076,2207,-1.571351233,1.10E-16,-1
FBgn0041182,FBtr0335488;FBtr0335487;FBtr0079513;FBtr0079511;FBtr0079510;FBtr0335488;FBtr0335487;FBtr0079513;FBtr0079511;FBtr0079510;FBtr0335488;FBtr0335487;FBtr0079513;FBtr0079511;FBtr0079510;FBtr0079510;FBtr0079511;FBtr0335488;FBtr0335487;FBtr0079513;FBtr0335488;FBtr0335487;FBtr0079513;FBtr0079511;FBtr0079510;FBtr0335488;FBtr0335487;FBtr0079513;FBtr0079510;FBtr0079511;FBtr0335488;FBtr0335487;FBtr0079513;FBtr0079511;FBtr0079510;FBtr0335488;FBtr0335487;FBtr0079513;FBtr0079511;FBtr0079510,Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RB;Tep2-RA;Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RB;Tep2-RA;Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RB;Tep2-RA;Tep2-RA;Tep2-RB;Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RB;Tep2-RA;Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RA;Tep2-RB;Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RB;Tep2-RA;Tep2-RG;Tep2-RF;Tep2-RD;Tep2-RB;Tep2-RA,Tep2,10282,14175,5737,2.349299938,1.37E-16,1
FBgn0038020,FBtr0082608;FBtr0344263;FBtr0344263;FBtr0082608,GstD9-RA;GstD9-RB;GstD9-RB;GstD9-RA,GstD9,19,12,6,-3.374906194,1.40E-16,-1
FBgn0033483,FBtr0088406;FBtr0088405;FBtr0088406;FBtr0088405;FBtr0088405;FBtr0088406;FBtr0088405;FBtr0088406;FBtr0088405;FBtr0088406;FBtr0088405;FBtr0088406;FBtr0088406;FBtr0088405,egr-RB;egr-RA;egr-RB;egr-RA;egr-RA;egr-RB;egr-RA;egr-RB;egr-RA;egr-RB;egr-RA;egr-RB;egr-RB;egr-RA,egr,1268,1440,648,2.325830262,2.43E-16,1
FBgn0034010,FBtr0340000;FBtr0087390;FBtr0340000;FBtr0087390,CG8157-RB;CG8157-RA;CG8157-RB;CG8157-RA,CG8157,1251,2312,601,2.954986203,4.30E-16,1
FBgn0020762,FBtr0112899;FBtr0077426;FBtr0077427;FBtr0112899;FBtr0077427;FBtr0077426;FBtr0112898;FBtr0112898;FBtr0112898;FBtr0112899;FBtr0077427;FBtr0077426;FBtr0112899;FBtr0112898;FBtr0077427;FBtr0077426;FBtr0112899;FBtr0112898;FBtr0077427;FBtr0077426;FBtr0112899;FBtr0112898;FBtr0077427;FBtr0077426;FBtr0112899;FBtr0112898;FBtr0077427;FBtr0077426,Atet-RD;Atet-RA;Atet-RB;Atet-RD;Atet-RB;Atet-RA;Atet-RC;Atet-RC;Atet-RC;Atet-RD;Atet-RB;Atet-RA;Atet-RD;Atet-RC;Atet-RB;Atet-RA;Atet-RD;Atet-RC;Atet-RB;Atet-RA;Atet-RD;Atet-RC;Atet-RB;Atet-RA;Atet-RD;Atet-RC;Atet-RB;Atet-RA,Atet,232,241,125,2.845663589,5.73E-16,1
FBgn0032713,FBtr0308574;FBtr0308575;FBtr0343833;FBtr0081104;FBtr0308574;FBtr0308575;FBtr0343833;FBtr0081104;FBtr0308574;FBtr0308575;FBtr0081104;FBtr0343833;FBtr0308575;FBtr0308574;FBtr0081104;FBtr0343833;FBtr0308575;FBtr0308574;FBtr0081104;FBtr0343833,Ugt36D1-RC;Ugt36D1-RD;Ugt36D1-RE;Ugt36D1-RA;Ugt36D1-RC;Ugt36D1-RD;Ugt36D1-RE;Ugt36D1-RA;Ugt36D1-RC;Ugt36D1-RD;Ugt36D1-RA;Ugt36D1-RE;Ugt36D1-RD;Ugt36D1-RC;Ugt36D1-RA;Ugt36D1-RE;Ugt36D1-RD;Ugt36D1-RC;Ugt36D1-RA;Ugt36D1-RE,Ugt36D1,1913,1914,1133,2.001754188,9.72E-16,1
FBgn0035445,FBtr0073077,Ids-RA,Ids,140,121,73,4.308199959,1.11E-15,1
FBgn0263083,FBtr0307099,CG43351-RA,CG43351,206,189,107,2.911568378,1.33E-15,1
FBgn0030443,FBtr0343602;FBtr0073750;FBtr0073750;FBtr0343602,CG12715-RB;CG12715-RA;CG12715-RA;CG12715-RB,CG12715,14,7,14,-3.321812161,3.44E-15,-1
FBgn0262531,FBtr0304976;FBtr0333122;FBtr0333122;FBtr0304976,CG43085-RA;CG43085-RB;CG43085-RB;CG43085-RA,CG43085,27239,19444,13693,1.791380157,4.31E-15,1
FBgn0263762,FBtr0310457;FBtr0310456;FBtr0310456,CG43679-RB;CG43679-RA;CG43679-RA,CG43679,1,0,2,-7.462523075,4.42E-15,-1
FBgn0037386,FBtr0113196;FBtr0113197;FBtr0113197;FBtr0113196;FBtr0113197;FBtr0113196;FBtr0113196;FBtr0113197;FBtr0113196;FBtr0113197;FBtr0113196;FBtr0113197,CG1208-RB;CG1208-RC;CG1208-RC;CG1208-RB;CG1208-RC;CG1208-RB;CG1208-RB;CG1208-RC;CG1208-RB;CG1208-RC;CG1208-RB;CG1208-RC,CG1208,612,314,253,9.425918877,4.49E-15,1
FBgn0037230,FBtr0078959,Nepl11-RA,Nepl11,583,153,148,3.35421504,4.65E-15,1
FBgn0031417,FBtr0330667;FBtr0077792;FBtr0330667;FBtr0077792;FBtr0330667;FBtr0077792,CG3597-RB;CG3597-RA;CG3597-RB;CG3597-RA;CG3597-RB;CG3597-RA,CG3597,7,10,6,-3.632804863,4.65E-15,-1
FBgn0264776,FBtr0334152,CG44014-RA,CG44014,545,357,285,2.389491234,5.07E-15,1
FBgn0039685,FBtr0085462;FBtr0333198;FBtr0333198,Obp99b-RA;Obp99b-RB;Obp99b-RB,Obp99b,65060,59205,32160,-1.962305373,8.28E-15,-1
FBgn0040734,FBtr0086667,BomS5-RA,BomS5,390,346,230,9.193457981,2.09E-14,1
FBgn0001149,FBtr0082607;FBtr0100410;FBtr0082607;FBtr0100410,GstD1-RA;GstD1-RB;GstD1-RA;GstD1-RB,GstD1,644,495,377,-1.883611715,2.92E-14,-1
